	categoryId	channelId	channelTitle	commentCount	description	dislikeCount	favoriteCount	likeCount	liveBroadcastContent	localized	publishedAt	tags	thumbnails	title	v_id	v_title	viewCount
0	2	UCYP0krXT4WsiY5dUD1-kOmA	Carlist MY	1	More details here: http://www.carlist.my/news/2015-bmw-3-series-f30-facelift-unveiled-full-detail-new-3-4-cyl-engines-debut/12799	0	0	4	none	{u'description': u'More details here: http://www.carlist.my/news/2015-bmw-3-series-f30-facelift-unveiled-full-detail-new-3-4-cyl-engines-debut/12799', u'title': u'2015 BMW 3 Series Facelift Unveiled!'}	2015-05-08T00:08:48.000Z	[BMW (Award Winner), BMW 3 Series (Automobile Model), Facelift (Award-Nominated Work), Auto Show (Event), BMW 3 Series (E90) (Automobile Generation), F30, BMW 3 Series (F30) (Automobile Generation), Special, Exclusive, Global, debut, Global Debut, Automobile (TV Genre), Trailer, New, Very, Television (Invention), Bmw, Album, Brand New, Preview, Release, Clip, Carlist.my, Carlist, Carlist Malaysia, Live Life Drive]	{u'default': {u'url': u'https://i.ytimg.com/vi/F_HHmcT_yJY/default.jpg', u'width': 120, u'height': 90}, u'high': {u'url': u'https://i.ytimg.com/vi/F_HHmcT_yJY/hqdefault.jpg', u'width': 480, u'height': 360}, u'medium': {u'url': u'https://i.ytimg.com/vi/F_HHmcT_yJY/mqdefault.jpg', u'width': 320, u'height': 180}}	2015 BMW 3 Series Facelift Unveiled!	F_HHmcT_yJY	2015 BMW 3 Series Facelift Unveiled!	4451
1	22	UChC2wFNiVL_B9lI7WLtWQsQ	Enih Buki	0		0	0	16	none	{u'description': u'', u'title': u'Maude   S02E04   Maude's Facelift 1'}	2015-08-13T16:25:18.000Z		{u'default': {u'url': u'https://i.ytimg.com/vi/XGat5qbJK0Y/default.jpg', u'width': 120, u'height': 90}, u'high': {u'url': u'https://i.ytimg.com/vi/XGat5qbJK0Y/hqdefault.jpg', u'width': 480, u'height': 360}, u'medium': {u'url': u'https://i.ytimg.com/vi/XGat5qbJK0Y/mqdefault.jpg', u'width': 320, u'height': 180}}	Maude   S02E04   Maude's Facelift 1	XGat5qbJK0Y	Maude   S02E04   Maude's Facelift 1	2988
2	10	UCXOv6sH6Kbs5eoJ_yTU0Cnw	Unsung86	32	"From the album 'Third'
I don't own anything, if you like it buy the album!"	0	0	234	none	"{u'description': u'From the album 'Third'
I don't own anything, if you like it buy the album!', u'title': u'Soft Machine - Facelift'}"	2012-12-14T20:33:12.000Z	[Soft Machine, Facelift, Third, Progressive Rock, Canterbury Scene, Jazz Fusion, Free Jazz]	{u'default': {u'url': u'https://i.ytimg.com/vi/WSv2gLT0jkU/default.jpg', u'width': 120, u'height': 90}, u'high': {u'url': u'https://i.ytimg.com/vi/WSv2gLT0jkU/hqdefault.jpg', u'width': 480, u'height': 360}, u'medium': {u'url': u'https://i.ytimg.com/vi/WSv2gLT0jkU/mqdefault.jpg', u'width': 320, u'height': 180}, u'maxres': {u'url': u'https://i.ytimg.com/vi/WSv2gLT0jkU/maxresdefault.jpg', u'width': 1280, u'height': 720}, u'standard': {u'url': u'https://i.ytimg.com/vi/WSv2gLT0jkU/sddefault.jpg', u'width': 640, u'height': 480}}	Soft Machine - Facelift	WSv2gLT0jkU	Soft Machine - Facelift	47972
3	2	UCAkqAwuyz_qu3vfgAMQPCBw	Autovisie	6	De vernieuwde Porsche 911 is wat zijn uiterlijk betreft nauwelijks gewijzigd. Onderhuids is dat een totaal ander verhaal, want Porsche heeft flink gesleuteld aan de vertrouwde en bewezen receptuur. De Carrera-modellen krijgen bijvoorbeeld voor het eerst een turbomotor achterin. Is de 911 met een vanafprijs van 113.000 euro daarmee nog steeds een lekkernij, of heeft de sportwagen aan smaak verloren? Autovisie-hoofdredacteur Jaco Bijlsma heeft het antwoord.	0	0	50	none	{u'description': u'De vernieuwde Porsche 911 is wat zijn uiterlijk betreft nauwelijks gewijzigd. Onderhuids is dat een totaal ander verhaal, want Porsche heeft flink gesleuteld aan de vertrouwde en bewezen receptuur. De Carrera-modellen krijgen bijvoorbeeld voor het eerst een turbomotor achterin. Is de 911 met een vanafprijs van 113.000 euro daarmee nog steeds een lekkernij, of heeft de sportwagen aan smaak verloren? Autovisie-hoofdredacteur Jaco Bijlsma heeft het antwoord.', u'title': u'Porsche 911 Carrera (991) facelift - review by Autovisie TV'}	2015-11-17T13:16:42.000Z	[Porsche Carrera, Porsche (Automobile Company), Porsche 911 (991) (Automobile Generation), Facelift (Award-Nominated Work), Porsche 911 (Automobile Model), Automobile (TV Genre), Review, Lamborghini, Autovisie, Jaco Bijlsma, Autovisie TV, Porsche 911, Porsche 991, Autotest, Test, Reviews]	{u'default': {u'url': u'https://i.ytimg.com/vi/xf-9Kk3-TSo/default.jpg', u'width': 120, u'height': 90}, u'high': {u'url': u'https://i.ytimg.com/vi/xf-9Kk3-TSo/hqdefault.jpg', u'width': 480, u'height': 360}, u'medium': {u'url': u'https://i.ytimg.com/vi/xf-9Kk3-TSo/mqdefault.jpg', u'width': 320, u'height': 180}, u'maxres': {u'url': u'https://i.ytimg.com/vi/xf-9Kk3-TSo/maxresdefault.jpg', u'width': 1280, u'height': 720}, u'standard': {u'url': u'https://i.ytimg.com/vi/xf-9Kk3-TSo/sddefault.jpg', u'width': 640, u'height': 480}}	Porsche 911 Carrera (991) facelift - review by Autovisie TV	xf-9Kk3-TSo	Porsche 911 Carrera (991) facelift - review by Autovisie TV	3336
